iter	Logloss
283	0.6292739778
284	0.6292255691
285	0.6291943821
286	0.6291729179
287	0.6291503334
288	0.629133681
289	0.6291251855
290	0.6291051336
291	0.6290843544
292	0.6290517867
293	0.6289309818
294	0.6288969308
295	0.6288752978
296	0.6288687088
297	0.6288383285
298	0.6287914418
299	0.6287811011
300	0.6287682799
301	0.6287575451
302	0.6287395402
303	0.628720841
304	0.6287002143
305	0.6286218951
306	0.6285359574
307	0.6285109802
308	0.6285048365
309	0.6284674586
310	0.6284491944
311	0.6284012786
312	0.6283514891
313	0.6282585242
314	0.628244997
315	0.6282064255
316	0.6281776156
317	0.6281658143
318	0.6281538572
319	0.6281155002
320	0.6280883987
321	0.6280233314
322	0.6279744359
323	0.6279526671
324	0.6279374677
325	0.6278928513
326	0.6278788161
327	0.6278558778
328	0.6278183754
329	0.6277851113
330	0.627752656
331	0.6277194541
332	0.6276995443
333	0.6276670669
334	0.6276304137
335	0.627606345
336	0.6275907793
337	0.6275757335
338	0.6275473511
339	0.6274881343
340	0.627471831
341	0.6274500689
342	0.6274208852
343	0.6273982859
344	0.6273387195
345	0.6273296073
346	0.6273122673
347	0.6272961396
348	0.6272566682
349	0.6272232745
350	0.6272026576
351	0.6271796347
352	0.6271368068
353	0.62708075
354	0.6270483585
355	0.6270219765
356	0.6269976181
357	0.6269717899
358	0.6269506718
359	0.6269363518
360	0.6269009954
361	0.6268535368
362	0.6268365677
363	0.6268075845
364	0.6267848781
365	0.6267695106
366	0.6267604213
367	0.6267406461
368	0.6267170716
369	0.6266913505
370	0.626672036
371	0.6266420383
372	0.6266256225
373	0.6265678146
374	0.6265589444
375	0.6265434877
376	0.6265285974
377	0.6265095635
378	0.6264957794
379	0.6264535312
380	0.626430766
381	0.6264113666
382	0.6264012769
383	0.6263905068
384	0.6263693008
385	0.6263618097
386	0.6263435345
387	0.6263327432
388	0.6263270511
389	0.6263227224
390	0.6263153138
391	0.6263057234
392	0.6262916521
393	0.62627987
394	0.6262484326
395	0.6262253402
396	0.6261917016
397	0.6261462976
398	0.6261366988
399	0.6261040604
400	0.6260858556
401	0.626066978
402	0.6260375789
403	0.6260251097
404	0.6260070904
405	0.6259917047
406	0.625972376
407	0.6259513656
408	0.6259361073
409	0.6259035242
410	0.6258934422
411	0.6258724641
412	0.6258471754
413	0.6258338916
414	0.6258183373
415	0.6257758554
416	0.6257563224
417	0.6257340967
418	0.6257114441
419	0.6256917789
420	0.6256763263
421	0.6256665543
422	0.6256504981
423	0.6256415775
424	0.6256240654
425	0.6256131353
426	0.6256045466
427	0.6255943774
428	0.6255878028
429	0.6255560237
430	0.625530426
431	0.6255182616
432	0.6254955002
433	0.6254520876
434	0.6254392978
435	0.6254228859
436	0.6254143803
437	0.6253800569
438	0.625367165
439	0.6253593236
440	0.6253353304
441	0.6253214406
442	0.6253078958
443	0.625292742
444	0.6252776367
445	0.6252732894
446	0.6252206778
447	0.6251969844
448	0.6251523715
449	0.6251478312
450	0.6251384238
451	0.6250999973
452	0.6250833659
453	0.6250601436
454	0.6250469454
455	0.625015552
456	0.6249975847
457	0.6249803102
458	0.6249570177
459	0.6249269848
460	0.6249138916
461	0.6249057687
462	0.6248867384
463	0.6248757288
464	0.6248605311
465	0.6248138984
466	0.6248012498
467	0.6247806477
468	0.6247674733
469	0.6247527162
470	0.6247437258
471	0.6247148429
472	0.6247034135
473	0.624682041
474	0.6246752047
475	0.6246668004
476	0.624649784
477	0.6246158383
478	0.6246062743
479	0.6245828643
480	0.6245457703
481	0.6245320867
482	0.6245288815
483	0.6245159917
484	0.6245030326
485	0.6244891036
486	0.6244716317
487	0.6244606554
488	0.6244345416
489	0.6244160392
490	0.6244072174
491	0.6243893707
492	0.6243691778
493	0.6243523843
494	0.6243404815
495	0.6243347304
496	0.6243283056
497	0.6243115852
498	0.6242993753
499	0.6242744757
500	0.6242552541
501	0.6242361402
502	0.6242199792
503	0.6242015478
504	0.6241723119
505	0.6241594438
506	0.6241353655
507	0.6241002887
508	0.6240734107
509	0.6240656453
510	0.6240615889
511	0.6240474965
512	0.6240318695
513	0.6240148037
514	0.62400941
515	0.6239924767
516	0.6239629905
517	0.6239332043
518	0.6239220529
519	0.6239110649
520	0.623904086
521	0.623899035
522	0.6238855747
523	0.6238725884
524	0.6238409756
525	0.6238251417
526	0.623813486
527	0.623798974
528	0.6237645186
529	0.6237394612
530	0.6237174191
531	0.6237006198
532	0.6236871213
533	0.6236821247
534	0.6236628449
535	0.6236441274
536	0.6236250997
537	0.623601546
538	0.6235871076
539	0.62357189
540	0.6235508267
541	0.6235427895
542	0.6235217467
543	0.6235025133
544	0.6234843246
545	0.6234524355
546	0.6234263187
547	0.6234170683
548	0.6234048333
549	0.6233991207
550	0.6233854139
551	0.6233749972
552	0.6233567742
553	0.6233472948
554	0.6233233471
555	0.6233196431
556	0.6232956946
557	0.6232847395
558	0.6232701796
559	0.6232490336
560	0.623241364
561	0.6232349568
562	0.6232064752
563	0.623191366
564	0.6231828401
565	0.6231567859
566	0.6231493739
567	0.623141218
568	0.6231331171
569	0.6231258634
570	0.623106402
571	0.6230895034
572	0.6230822261
573	0.6230681915
574	0.6230549618
575	0.6230454312
576	0.6230356683
577	0.6230162931
578	0.6230009295
579	0.6229968058
580	0.6229914233
581	0.6229546476
582	0.6229288019
583	0.6229182612
584	0.6229037793
585	0.6228880225
586	0.6228787783
587	0.6228424368
588	0.622836672
589	0.6228210371
590	0.6228111523
591	0.6227970708
592	0.6227763668
593	0.6227680644
594	0.6227505259
595	0.6227430573
596	0.6227330576
597	0.6227255529
598	0.6226941513
599	0.6226809344
600	0.6226538649
601	0.6226493092
602	0.6226412869
603	0.6226307041
604	0.6226198966
605	0.6226125801
606	0.6225918134
607	0.6225757358
608	0.622565907
609	0.6225603626
610	0.6225439688
611	0.6225330208
612	0.6225171511
613	0.6224952297
614	0.6224833813
615	0.622465484
616	0.6224460523
617	0.6224263418
618	0.6224155158
619	0.6224077625
620	0.6223961596
621	0.6223881369
622	0.6223773914
623	0.6223667018
624	0.6223573396
625	0.622350129
626	0.6223229628
627	0.6223045834
628	0.6222990851
629	0.6222917526
630	0.6222848649
631	0.6222791898
632	0.6222611531
633	0.6222488461
634	0.622231478
635	0.6222232829
636	0.6222184896
637	0.6221986776
638	0.6221897733
639	0.6221595715
640	0.6221464328
641	0.6221390374
642	0.6221287579
643	0.6221144508
644	0.6221112053
645	0.6220983821
646	0.6220717603
647	0.6220554128
648	0.622047404
649	0.6220262579
650	0.6220194149
651	0.6220026353
652	0.6219959067
653	0.6219870588
654	0.6219728613
655	0.6219622368
656	0.6219536598
657	0.6219440506
658	0.621920874
659	0.6219095809
660	0.6219017075
661	0.6218823637
662	0.6218540038
663	0.6218498005
664	0.6218433196
665	0.6218324209
666	0.6218212288
667	0.6218058051
668	0.6218012855
669	0.6217880268
670	0.6217788574
671	0.6217748964
672	0.6217684362
673	0.6217426586
674	0.6217329722
675	0.621715778
676	0.6217097985
677	0.6216853001
678	0.6216737207
679	0.6216632659
680	0.621655582
681	0.6216494348
682	0.6216438492
683	0.6216322348
684	0.6216119105
685	0.6215784374
686	0.6215654693
687	0.6215497522
688	0.621545861
689	0.6215408105
690	0.6215349966
691	0.6215306611
692	0.6215223455
693	0.621501047
694	0.6214858314
695	0.6214769056
696	0.621438744
697	0.621426925
698	0.6213946998
699	0.6213844705
700	0.6213735487
701	0.6213581804
702	0.6213473709
703	0.6213353466
704	0.6213233362
705	0.621288136
706	0.6212841841
707	0.6212750924
708	0.6212693857
709	0.6212559744
710	0.6212436183
711	0.6212262724
712	0.6212211163
713	0.6212135922
714	0.6212095043
715	0.6212057433
716	0.621198118
717	0.6211751598
718	0.6211682799
719	0.6211593562
720	0.6211551583
721	0.6211412142
722	0.6211367833
723	0.6210995847
724	0.6210915552
725	0.6210705454
726	0.6210453354
727	0.6210317907
728	0.6210283201
729	0.6210166551
730	0.6210009236
731	0.6209970134
732	0.6209905251
733	0.6209741037
734	0.6209585568
735	0.6209367289
736	0.6209188505
737	0.6209115241
738	0.6208966297
739	0.6208805083
740	0.6208769529
741	0.6208647977
742	0.6208558873
743	0.62084105
744	0.6208265808
745	0.6208092187
746	0.6207999074
747	0.6207890948
748	0.6207722443
749	0.6207589454
750	0.6207533972
751	0.6207457545
752	0.6207333107
753	0.6207277216
754	0.6207243224
755	0.620718073
756	0.6207065007
757	0.6206966041
758	0.6206897177
759	0.6206613329
760	0.6206375122
761	0.6206278754
762	0.620619389
763	0.620607559
764	0.620600542
765	0.6205922735
766	0.6205877012
767	0.6205750498
768	0.6205637817
769	0.6205293859
770	0.6205088332
771	0.6204975637
772	0.6204918114
773	0.6204615219
774	0.6204485681
775	0.6204372543
776	0.6204313534
777	0.6204137204
778	0.6204014698
779	0.6203918418
780	0.6203838784
781	0.62036417
782	0.620353374
783	0.6203468705
784	0.6203402561
785	0.620319103
786	0.620311804
787	0.6202996286
788	0.6202824313
789	0.6202704005
790	0.6202687715
791	0.6202597459
792	0.6202487367
793	0.6202322825
794	0.6202283959
795	0.6202243413
796	0.6202129424
797	0.6202017617
798	0.6201883198
799	0.6201714071
